accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
AB910393,1462608,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Kochitakasuvirus,Pseudomonas virus KPP25
AB916497,1483485,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Ralstonia phage RS138
AB920995,1481785,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Okabevirinae,Risjevirus,Ralstonia virus RSJ2
AB967974,1503929,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Aurantimonas phage AmM-1
AB981169,1530085,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Aresaunavirus,Ralstonia virus RSY1
AB983711,1538364,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Okabevirinae,Risjevirus,Ralstonia virus RSJ5
AF009630,63118,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Skunavirus,Lactococcus virus bIL170
AF011378,31532,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Skunavirus,Lactococcus virus sk1
AF020713,66797,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Spbetavirus,Bacillus virus SPbeta
AF022214,28369,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium virus D29
AF063097,10679,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Peduovirus,Escherichia virus P2
AF064539,40631,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ravinvirus,Escherichia virus N15
AF065411,77048,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Psimunavirus,Psimunavirus psiM2
AF068845,88870,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium virus TM4
AF069308,10742,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Hendrixvirus,Escherichia virus HK022
AF069529,37554,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Hendrixvirus,Escherichia virus HK97
AF083977,2681603,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Muvirus,Escherichia virus Mu
AF085222,90410,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Moineauvirus,Streptococcus virus DT1
AF109874,35241,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage Tuc2009
AF115102,72638,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Moineauvirus,Streptococcus virus Sfi19
AF115103,64186,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Moineauvirus,Streptococcus virus Sfi21
AF125163,70734,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Peduovirinae,Longwoodvirus,Vibrio virus K139
AF125520,10730,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Escherichia virus 933W
AF145054,112023,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Moineauvirus,Streptococcus virus 7201
AF155037,10661,Viruses,Preplasmiviricota,Tectiliviricetes,Vinavirales,Corticoviridae,,Corticovirus,Pseudoalteromonas virus PM2
AF157835,67571,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Hamiltonella virus APSE1
AF158101,2681598,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Escherichia virus T4
AF158600,2681625,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Brussowvirus,Streptococcus virus Sfi11
AF165214,31535,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Detrevirus,Pseudomonas virus D3
AF176025,31754,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage BK5-T
AF189021,136084,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,,Roseobacter virus SIO1
AF191796,128708,Viruses,,,,Halspiviridae,,Salterprovirus,Salterprovirus His1
AF191797,128710,Viruses,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,,Gammapleolipovirus,Gammapleolipovirus His2
AF195902,139871,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Lactobacillus prophage Lj771
AF217253,10754,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Salmonella virus P22
AF222060,33771,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Halorubrum phage HF2
AF232233,151599,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Beetrevirus,Pseudomonas virus B3
AF234172,10678,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Punavirus,Escherichia virus P1
AF234173,10678,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Punavirus,Escherichia virus P1
AF242738,12390,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage phiLC3
AF271693,148603,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium virus Bxb1
AF304433,35345,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage TP901-1
AF320576,77775,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Felixounavirus,Salmonella virus FelixO1
AF323668,151535,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage bIL285
AF323669,151536,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage bIL286
AF323670,151537,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage bIL309
AF323671,151538,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage bIL310
AF323672,151534,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage bIL311
AF323673,151539,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage bIL312
AF335538,155148,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Escherichia virus HK620
AF338467,151528,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Tiilvirus,Synechococcus virus P60
AF349457,114416,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage ul36
AF396866,49964,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Myxoctovirus,Myxococcus virus Mx8
AF399011,169683,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Phikzvirus,Pseudomonas virus phiKZ
AF424781,2681609,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus virus 11
AF424782,186152,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Triavirus,Staphylococcus virus phi12
AF424783,186153,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Biseptimavirus,Staphylococcus virus 13
AF440695,114777,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Myohalovirus,Natrialba phage PhiCh1
AF447491,180504,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Stanholtvirus,Burkholderia virus phiE125
AF448724,179237,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Sinorhizobium phage PBC5
