accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
KJ018210,1458858,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Flavobacterium sp. phage 1/32
KJ018211,1458860,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Shewanella sp. phage 1/40
KJ018212,1458861,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Shewanella sp. phage 1/41
KJ018213,1458862,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Shewanella sp. phage 1/44
KJ018214,1458863,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Shewanella sp. phage 3/49
KJ019026,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019027,1079998,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014c
KJ019028,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019029,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019030,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019031,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019032,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019033,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019034,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019035,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019036,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019037,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019038,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019039,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019040,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019041,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019042,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019043,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019044,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019045,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019046,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019047,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019048,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019049,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019050,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019051,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019052,2790345,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus ACG2014f
KJ019053,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019054,1493510,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014e
KJ019055,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019057,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019058,2790336,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019059,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019060,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019061,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019062,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019063,1079998,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014c
KJ019064,1079998,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014c
KJ019065,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019066,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019067,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019068,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019069,1493514,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014j
KJ019070,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019071,1493512,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014g
KJ019072,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019073,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019074,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019075,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019076,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019077,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019078,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019079,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019080,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019081,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019082,1493513,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014i
KJ019083,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019084,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019085,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019086,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019087,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019088,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019089,1493514,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014j
KJ019090,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019091,2790346,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus ACG2014fSyn7803US26
KJ019092,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019093,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019094,1493510,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014e
KJ019095,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019096,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019097,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019098,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019099,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019100,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019101,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019102,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019103,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019104,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019105,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019106,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019107,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019108,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019109,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019110,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019111,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019112,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019113,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019114,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019115,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019116,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019117,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019118,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019119,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019120,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019121,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019122,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019123,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019124,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019125,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019126,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019127,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019128,1079998,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014c
KJ019129,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019130,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019131,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019132,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019133,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019134,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019135,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019136,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019137,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019138,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019139,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019140,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019141,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019142,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019143,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019144,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019145,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019146,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019147,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019148,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019149,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019150,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019151,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019152,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019153,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019154,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019155,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019156,1493510,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014e
KJ019157,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019158,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019159,1493511,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Atlauavirus,Synechococcus virus AC2014fSyn7803C8
KJ019160,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019161,1493508,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Nereusvirus,Synechococcus virus ACG2014bSyn7803C61
KJ019162,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019163,1493507,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Acionnavirus,Synechococcus phage ACG-2014a
KJ019164,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ019165,1493509,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage ACG-2014d
KJ024807,1445809,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Bacillus phage vB_BtS_BMBtp3
KJ025956,1445728,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Saal
KJ025957,1481112,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,,Serratia phage PS2
KJ028219,1445729,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Trigintaduovirus,Mycobacterium virus 32HC
KJ081346,1129192,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Caeruleovirus,Bacillus virus BCP82
KJ094020,1173745,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Homburgvirus,Listeria virus LP26
KJ094021,1458857,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Homburgvirus,Listeria virus LP114
KJ094022,1458852,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Listeria phage LP-030-3
KJ094023,1458856,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Listeria phage LP-101
KJ094029,1458853,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LP064
KJ094030,1458855,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LP083-2
KJ094031,1173765,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LP064
KJ094032,1458851,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Saphexavirus,Enterococcus virus VD13
KJ094033,1173764,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Jasinkavirinae,Pecentumvirus,Listeria virus LP048
KJ101592,1455074,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Karamvirus,Enterobacter virus PG7
KJ127303,1458851,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Saphexavirus,Enterococcus virus VD13
KJ133688,1667365,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133689,1667364,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133690,1667371,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133691,1667370,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133692,1667369,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133693,1667368,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133694,1667373,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133695,1667372,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133696,1667375,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133697,1667374,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133698,1667377,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133699,1667376,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133700,1667379,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133701,1667378,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133702,1667367,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133703,1667366,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133704,1667381,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133705,1667380,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133706,1667383,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ133707,1667382,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Perisivirus,Brucella virus Tb
KJ135004,1458848,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Gamaleyavirus,Escherichia virus Bp4
KJ140076,1464127,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus phage DW2
KJ156985,1458846,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage RhynO
KJ159566,1458842,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Geobacillus phage GBK2
KJ173786,1458670,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Farahnazvirus,Microbacterium virus ISF9
KJ174156,1458724,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Alsfro
KJ174157,1458725,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium virus Soto
KJ174317,1458849,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Viunavirus,Salmonella virus SJ2
KJ174318,1446492,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Cvivirinae,Kuttervirus,Salmonella virus SJ3
KJ183191,2784187,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Lauvirus,Podovirus Lau218
KJ183192,1465639,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Lauvirus,Podovirus Lau218
KJ183193,1465639,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Lauvirus,Podovirus Lau218
KJ190157,1446489,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Markadamsvirinae,Tequintavirus,Escherichia virus FFH1
KJ190158,1446490,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Vequintavirinae,Vequintavirus,Escherichia virus FFH2
KJ192196,1458717,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage 40AC
KJ192399,1458716,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Vibrio phage CHOED
KJ194579,1458715,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium virus Soto
KJ194580,1458710,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium virus Pg1
KJ194581,1458709,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pipefishvirus,Mycobacterium phage Audrey
KJ194582,1458711,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Dclasvirinae,Hawkeyevirus,Mycobacterium virus Hawkeye
KJ194583,1458713,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium virus Suffolk
KJ194584,1458712,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pipefishvirus,Mycobacterium phage Heathcliff
